RANK,PLAYER,Position,Passing_Yards,Passing_Touchdowns,Passing_INT,Rushing_Carry,Rushing_Yards,Rushing_Touchdowns,Receiving_Receptions,Receiving_Yards,Receiving_Touchdowns,Fantasy_Pts_Total,Fantasy_Pts_Average,,,,,,,,,,,
1,Justin Jefferson,WR,0,0,0,6,32.8,0,115,1666,10,344.88,20.29,,,,,,,,,,,
2,Ja'Marr Chase,WR,0,0,0,9,46.9,0,112,1624,12,351.09,20.65,,,,,,,,,,,
3,Christian McCaffrey,WR,0,0,0,223,1075,8,72,601,4,311.6,18.33,,,,,,,,,,,
4,Austin Ekeler,WR,0,0,0,194,867,8,86,622,4,306.9,18.05,,,,,,,,,,,
5,Tyreek Hill,WR,0,0,0,16,89,0,104,1447,9,311.6,18.33,,,,,,,,,,,
6,Cooper Kupp,WR,0,0,0,4,22,0,114,1344,9,304.6,17.92,,,,,,,,,,,
7,Travis Kelce,TE,0,0,0,0,0,0,107,1285,11,301.5,17.74,,,,,,,,,,,
8,Stefon Diggs,WR,0,0,0,2,13,0,110,1359.00,10,307.2,18.07,,,,,,,,,,,
9,Bijan Robinson,RB,0,0,0,265,1186,9,46,351.00,1,259.7,15.28,,,,,,,,,,,
10,Nick Chubb,RB,0,0,0,282,1413,12,22,168.00,1,258.1,15.18,,,,,,,,,,,
11,CeeDee Lamb,WR,0,0,0,13,72,0,97,1271.00,9,285.3,16.78,,,,,,,,,,,
12,Tony Pollard,RB,0,0,0,219,998,7,51,395.00,2,244.3,14.37,,,,,,,,,,,
13,Saquon Barkley,RB,0,0,0,281,1211,9,54,419.00,2,283,16.65,,,,,,,,,,,
14,A.J. Brown,WR,0,0,0,8,45,0,88,1345,9,281,16.53,,,,,,,,,,,
15,Amon-Ra St. Brown,WR,0,0,0,9,57,0,107,1170,6,265.7,15.63,,,,,,,,,,,
16,Davante Adams,WR,0,0,0,1,5,0,103,1299,10,293.4,17.26,,,,,,,,,,,
17,Garrett Wilson,WR,0,0,0,7,43,0,88,1153,7,249.6,14.68,,,,,,,,,,,
18,Derrick Henry,RB,0,0,0,293,1259,12,24,176,1,245.5,14.44,,,,,,,,,,,
19,Josh Jacobs,RB,0,0,0,275,1169,8,41,304,1,242.3,14.25,,,,,,,,,,,
20,Jaylen Waddle,WR,0,0,0,7,41,0,84,1204,7,250.5,14.74,,,,,,,,,,,
21,Jonathan Taylor,RB,0,0,0,275,1209,10,36,296.00,2,258.5,15.21,,,,,,,,,,,
22,DeVonta Smith,WR,0,0,0,1,7,0,87,1163.00,7,246,14.47,,,,,,,,,,,
23,Chris Olave,WR,0,0,0,1,5,0,81,1154.00,7,238.9,14.05,,,,,,,,,,,
24,Jalen Hurts,QB,3684,23,9,156,798,10,0,0.00,0,416.16,24.48,,,,,,,,,,,
25,Travis Etienne Jr.,RB,0,0,0,241,1124,7,43,339.00,1,237.3,13.96,,,,,,,,,,,
26,Tee Higgins,WR,0,0,0,1,5,0,84,1163.00,7,242.8,14.28,,,,,,,,,,,
27,Joe Mixon,RB,0,0,0,211,906,7,40,292.00,1,207.8,12.22,,,,,,,,,,,
28,Aaron Jones,RB,0,0,0,203,882,5,45,357.00,2,210.90,12.41,,,,,,,,,,,
29,Najee Harris,RB,0,0,0,262,1065,7,41,280.00,1,223.50,13.15,,,,,,,,,,,
30,Patrick Mahomes,QB,4929,38,13,70,369,3,0,0.00,0,467.06,27.47,,,,,,,,,,,
31,DK Metcalf,WR,0,0,0,3,19,0,77,1005.00,7,221.40,13.02,,,,,,,,,,,
32,Josh Allen,QB,4117,31,13,116,657,6,0,0.00,0,439.38,25.85,,,,,,,,,,,
33,Rhamondre Svenson,RB,0,0,0,241,1047,7,43,317.00,1,227.40,13.38,,,,,,,,,,,
34,Calvin Ridley,WR,0,0,0,0,0,0,83,1148.00,7,239.80,14.11,,,,,,,,,,,
35,Jahmyr Gibbs,RB,0,0,0,171,786,6,68,518.00,3,252.40,14.85,,,,,,,,,,,
36,Dameon Pierce,RB,0,0,0,260,1086,7,28,204.00,1,205.00,12.06,,,,,,,,,,,
37,Mark Andrews,TE,0,0,0,0,0,0,71,863.00,7,199.30,11.72,,,,,,,,,,,
38,J.K. Dobbins,RB,0,0,0,238,1134,7,22,171.00,1,200.50,11.79,,,,,,,,,,,
39,Amari Cooper,WR,0,0,0,0,0,0,82,1100.00,8,240.00,14.12,,,,,,,,,,,
40,Lamar Jackson,QB,3633,22,11,162,993,5,0,0.00,0,395.62,23.27,,,,,,,,,,,
41,Deebo Samuel,WR,0,0,0,37,202,2,69,918.00,5,223.00,13.12,,,,,,,,,,,
42,Breece Hall,RB,0,0,0,261,1253,10,49,379.00,1,278.20,16.36,,,,,,,,,,,
43,Tyler Lockett,WR,0,0,0,1,9,0,71,979.00,7,211.80,12.46,,,,,,,,,,,
44,Miles Sanders,RB,0,0,0,245,1044,6,27,201.00,1,193.50,11.38,,,,,,,,,,,
45,Keenan Allen,WR,0,0,0,2,11,0,95,1055.00,6,237.60,13.98,,,,,,,,,,,
46,Alexander Mattison,RB,0,0,0,189,812,6,37,270.00,1,187.20,11.01,,,,,,,,,,,
47,T.J. Hockenson,TE,0,0,0,0,0,0,71,740.00,5,175.00,10.29,,,,,,,,,,,
48,Cam Akers,RB,0,0,0,249,1017,7,29,204.00,1,199.10,11.71,,,,,,,,,,,
49,Kenneth Walker III,RB,0,0,0,215,980,7,24,182.00,1,188.20,11.07,,,,,,,,,,,
50,Drake London,WR,0,0,0,0,0,0,86,1012.00,6,223.20,13.13,,,,,,,,,,,
51,Terry McLaurin,WR,0,0,0,6,31,0,80,1070.00,5,220.10,12.95,,,,,,,,,,,
52,James Cook,RB,0,0,0,224,990,8,29,221.00,1,204.10,12.01,,,,,,,,,,,
53,Diontae Johnson,WR,0,0,0,11,63,0,83,841.00,4,197.40,11.61,,,,,,,,,,,
54,Brandon Aiyuk,WR,0,0,0,7,41,0,74,1029.00,7,223.00,13.12,,,,,,,,,,,
55,D.J. Moore,WR,0,0,0,14,72,0,82,1084.00,7,239.60,14.09,,,,,,,,,,,
56,Justin Fields,QB,3445,21,13,177,1008,8,0,0.00,0,399.60,23.51,,,,,,,,,,,
57,DeAndre Hopkins,WR,0,0,0,0,0,0,85,1000.00,6,221.00,13.00,,,,,,,,,,,
58,George Kittle,TE,0,0,0,0,0,0,65,801.00,7,187.10,11.01,,,,,,,,,,,
59,David Montgomery,RB,0,0,0,190,805,7,29,204.00,1,177.90,10.46,,,,,,,,,,,
60,Joe Burrow,QB,4584,34,14,44,230,3,0,0.00,0,414.36,24.37,,,,,,,,,,,
61,Christian Watson,WR,0,0,0,7,45,0,66,973.00,6,203.80,11.99,,,,,,,,,,,
62,James Conner,RB,0,0,0,275,1091,8,40,303.00,1,233.40,13.73,,,,,,,,,,,
63,Chris Godwin,WR,0,0,0,2,10.00,0,92.00,1001.00,6,229.1,13.48,,,,,,,,,,,
64,Michael Pittman,WR,0,0,0,7,33.00,0,92.00,1021.00,5,227.4,13.38,,,,,,,,,,,
65,Kyle Pitts,TE,0,0,0,0,0.00,0,64.00,767.00,5,170.7,10.04,,,,,,,,,,,
66,Dalvin Cook,RB,0,0,0,205,890.00,7,34.00,252.00,1,196.2,11.54,,,,,,,,,,,
67,Javonte Williams,RB,0,0,0,231,992.00,8,38.00,279.00,1,219.1,12.89,,,,,,,,,,,
68,Dallas Goedert,TE,0,0,0,0,0.00,0,63.00,722.00,6,171.2,10.07,,,,,,,,,,,
69,Mike Williams,WR,0,0,0,1,7.00,0,70.00,1045.00,7,217.2,12.78,,,,,,,,,,,
70,Trevor Lawrence,QB,4254,30,13,60,274.00,3,0.00,0.00,0,382.56,22.50,,,,,,,,,,,
71,Marquise Brown,WR,0,0,0,3,19.00,0,72.00,869.00,6,196.8,11.58,,,,,,,,,,,
72,Jahan Dotson,WR,0,0,0,0,0.00,0,60.00,846.00,6,180.6,10.62,,,,,,,,,,,
73,Mike Evans,WR,0,0,0,1,6.00,0,73.00,1016.00,7,217.2,12.78,,,,,,,,,,,
74,Rachaad White,RB,0,0,0,202,828.00,6,36.00,270.00,1,187.8,11.05,,,,,,,,,,,
75,Justin Herbert,QB,4623,32,12,49,164.00,2,0.00,0.00,0,393.32,23.14,,,,,,,,,,,
76,Khalil Herbert,RB,0,0,0,201,871.00,5,27.00,209.00,1,171,10.06,,,,,,,,,,,
77,Christian Kirk,WR,0,0,0,3,21.00,0,79.00,979.00,6,215,12.65,,,,,,,,,,,
78,Darren Waller,WR,0,0,0,0,0.00,0,65.00,774.00,5,172.4,10.14,,,,,,,,,,,
79,Isiah Pacheco,RB,0,0,0,210,951.00,7,23.00,179.00,1,184,10.82,,,,,,,,,,,
80,Alvin Kamara,RB,0,0,0,146,602.00,3,49.00,398.00,2,179,10.53,,,,,,,,,,,
81,George Pickens,WR,0,0,0,2,13.00,0,67.00,919.00,6,196.2,11.54,,,,,,,,,,,
82,Jerry Jeudy,WR,0,0,0,5,29.00,0,78.00,1036.00,7,226.5,13.32,,,,,,,,,,,
83,Pat Freiermuth,TE,0,0,0,0,0.00,0,64.00,694.00,5,163.4,9.61,,,,,,,,,,,
84,Gabe Davis,WR,0,0,0,2,15.00,0,59.00,907.00,8,199.2,11.72,,,,,,,,,,,
85,D'Andre Swift,RB,0,0,0,139,641.00,4,56.00,443.00,2,200.4,11.79,,,,,,,,,,,
86,AJ Dillon,RB,0,0,0,202,866.00,6.9,30.00,217.00,1,185.7,10.92,,,,,,,,,,,
87,Daniel Jones,QB,3502,20,12,99,542.00,4,0.00,0.00,0,326.28,19.19,,,,,,,,,,,
88,Antonio Gibson,RB,0,0,0,99,415.00,3,53.00,403.00,3,170.8,10.05,,,,,,,,,,,
89,Brian Robinson Jr.,RB,0,0,0,214,882.00,7,25.00,178.00,1,179.00,10.53,,,,,,,,,,,
90,Jordan Addison,WR,0,0,0,5,53.00,0,72.00,879.00,5,195.20,11.48,,,,,,,,,,,
91,Evan Engram,TE,0,0,0,0,0.00,0,66.00,705.00,5,166.5,9.79,,,,,,,,,,,
92,Dak Prescott,QB,4288,30,13,259,3.00,0,0.00,0.00,0,338.82,19.93,,,,,,,,,,,
93,Jamaal Williams,RB,0,0,0,184,761.00,6,22.00,170.00,1,157.1,9.24,,,,,,,,,,,
94,Jaxon Smith-Njigba,WR,0,0,0,2,14.00,0,74.00,825.00,5,187.9,11.05,,,,,,,,,,,
95,Deshaun Watson,QB,3918,26,11,82,434.00,4,0.00,0.00,0,369.12,21.71,,,,,,,,,,,
96,Samaje Perine,RB,0,0,0,124.00,510,4.00,36.00,268,1,143.80,8.46,,,,,,,,,,,
97,Elijah Moore,WR,0,0,0,8,59.00,0,57.00,689.00,5,161.80,9.52,,,,,,,,,,,
98,Courtland Sutton,WR,0,0,0,0,0.00,0,54.00,765.00,5,160.50,9.44,,,,,,,,,,,
99,Rashod Bateman,WR,0,0,0,0,0.00,0,56.00,769.00,5,162.90,9.58,,,,,,,,,,,
100,Zach Chaonnet,RB,0,0,0,174,783.00,5,26.00,195.00,1,159.80,9.40,,,,,,,,,,,
101,Anthony Richardson,QB,3414,20,14,117,612.00,5,0.00,0.00,0,333.76,19.63,,,,,,,,,,,
102,Brandin Cooks,WR,0,0,0,2,13.00,0,69.00,921.00,5,192.40,11.32,,,,,,,,,,,
103,Geno Smith,QB,3945,28,12,44,173.00,2,0.00,0.00,0,343.10,20.18,,,,,,,,,,,
104,Kenneth Gainwell,RB,0,0,0,57,261.00,2,20.00,145.00,1,78.60,4.62,,,,,,,,,,,
105,Tua Tagovailoa,QB,4374,31,12,34,89.00,2,0.00,0.00,0,369.86,21.76,,,,,,,,,,,
106,Jerick McKinnon,WR,0,0,0,48,211.00,2,56.00,399.00,4,153.00,9.00,,,,,,,,,,,
107,David Njoku,TE,0,0,0,0,0.00,0,65.00,701.00,5,165.10,9.71,,,,,,,,,,,
108,Skyy Moore,WR,0,0,0,10,58.00,0,63.00,721.00,6,176.90,10.41,,,,,,,,,,,
109,Nico Collins,WR,0,0,0,0,0.00,0,50.00,618.00,3,129.80,7.64,,,,,,,,,,,
110,Chigoziem Okonkwo,WR,0,0,0,0,0.00,0,47.00,522.00,4,123.20,7.25,,,,,,,,,,,
111,JuJu Smith-Schuster,WR,0,0,0,6,31.00,0,77.00,817.00,4,185.80,10.93,,,,,,,,,,,
112,Aaron Rodgers,QB,4120,28,9,19,132.00,2,0.00,0.00,0,349.00,20.53,,,,,,,,,,,
113,Tyler Higbee,TE,0,0,0,0,0.00,0,50.00,494.00,3,117.40,6.91,,,,,,,,,,,
114,Tyler Allgeier,RB,0,0,0,163,710.00,5,18.00,134.00,1,138.40,8.14,,,,,,,,,,,
115,Kirk Cousins,QB,4351,30,13,32,97.00,1,0.00,0.00,0,356.74,20.98,,,,,,,,,,,
116,Michael Thomas,WR,0,0,0,0,0.00,0,77.00,856.00,5,192.60,11.33,,,,,,,,,,,
117,Jakobi Meyers,WR,0,0,0,1,8.00,0,72.00,791.00,4,175.90,10.35,,,,,,,,,,,
118,Treylon Burks,WR,0,0,0,0,0.00,0,68.00,889.00,5,186.90,10.99,,,,,,,,,,,
119,Rashaad Penny,RB,0,0,0,177,886.00,7,19.00,149.00,1,170.50,10.03,,,,,,,,,,,
120,Dalton Kincaid,TE,0,0,0,0,0.00,0,45.00,482.00,5,123.20,7.25,,,,,,,,,,,
121,Zay Flowers,WR,0,0,0,7.00,43.00,0,52.00,727.00,5,159.00,9.35,,,,,,,,,,,
122,Elijah Mitchell,RB,0,0,0,176.00,842.00,6,15.00,109.00,0,146.10,8.59,,,,,,,,,,,
123,Sam LaPorta,WR,0,0,0,0.00,0.00,0,50.00,535.00,4,127.50,7.50,,,,,,,,,,,
124,Damien Harris,RB,0,0,0,177.00,803.00,7,15.00,112.00,1,154.50,9.09,,,,,,,,,,,
125,Jeff Wilson Jr.,RB,0,0,0,91.00,394.00,3,21.00,156.00,1,100.00,5.88,,,,,,,,,,,
126,Quentin Johnston,WR,0,0,0,1.00,6.00,0,66.00,860.00,5,182.60,10.74,,,,,,,,,,,
127,Tank Bigsby,RB,0,0,0,117.00,493.00,5,24.00,171.00,1,126.40,7.44,,,,,,,,,,,
128,Jaylen Warren,RB,0,0,0,89.00,379.00,2,26.00,192.00,1,101.10,5.95,,,,,,,,,,,
129,Odell Beckham Jr.,WR,0,0,0,2.00,12.00,0,53.00,640.00,5,148.20,8.72,,,,,,,,,,,
130,Raheem Mostert,RB,0,0,0,141.00,646.00,4,21.00,162.00,1,131.80,7.75,,,,,,,,,,,
131,Ezekiel Elliot,RB,0,0,0,107.00,429.00,4,9.00,69.00,1,88.80,5.22,,,,,,,,,,,
132,Allen Lazazrd,WR,0,0,0,2.00,10.00,0,56.00,711.00,6,164.10,9.65,,,,,,,,,,,
133,Marvin Mims,WR,0,0,0,1.00,13.00,0,50.00,630.00,4,138.30,8.14,,,,,,,,,,,
134,Adam Thielen,WR,0,0,0,0,0.00,0,63.00,683.00,5,161.3,9.49,,,,,,,,,,,
135,Tyler Boyd,WR,0,0,0,2,17.00,0,61.00,759.00,5,168.6,9.92,,,,,,,,,,,
136,Kadarius Toney,WR,0,0,0,15,85.00,1,58.00,663.00,5,168.8,9.93,,,,,,,,,,,
137,Cole Kmet,TE,0,0,0,0,0.00,0,53.00,552.00,4,132.2,7.78,,,,,,,,,,,
138,Brock Purdy,QB,3090,20,10,61,179.00,1,0.00,0.00,0,257.5,15.15,,,,,,,,,,,
139,Michael Gallup,WR,0,0,0,0,0.00,0,52.00,673.00,4,143.3,8.43,,,,,,,,,,,
140,Jared Goff,QB,4329,30,14,12,46.00,1,0.00,0.00,0,349.76,20.57,,,,,,,,,,,
141,Dalton Schultz,TE,0,0,0,0,0.00,0,53.00,539.00,4,130.9,7.70,,,,,,,,,,,
142,Darnell Mooney,WR,0,0,0,6,33.00,0,59.00,847.00,4,171,10.06,,,,,,,,,,,
143,Jake Ferguson,TE,0,0,0,0,0.00,0,32.00,332.00,3,83.2,4.89,,,,,,,,,,,
144,Devon Achane,RB,0,0,0,169,777.00,5,38.00,302.00,1,181.9,10.70,,,,,,,,,,,
145,Romeo Doubs,WR,0,0,0,1,5.00,0,52.00,607.00,5,143.2,8.42,,,,,,,,,,,
146,Juwan Johnson,TE,0,0,0,0.00,0.00,0,34.00,373.00,4,95.30,5.61,,,,,,,,,,,
147,Kendre Miller,RB,0,0,0,78.00,328.00,3,13.00,105.00,1,80.30,4.72,,,,,,,,,,,
148,Gerald Everett,TE,0,0,0,0.00,0.00,0,49.00,508.00,5,129.80,7.64,,,,,,,,,,,
149,D'Onta Foreman,RB,0,0,0,173.00,758.00,5,15.00,118.00,0,132.60,7.80,,,,,,,,,,,
150,Greg Dulcich,TE,0,0,0,0.00,0.00,0,54.00,558.00,3,127.80,7.52,,,,,,,,,,,
151,DJ Chark,WR,0,0,0,0.00,0.00,0,45.00,643.00,4,133.30,7.84,,,,,,,,,,,